company_name,area,profit,rent,total_price,size,Latlng,parking_count,subway_station_count,bus_station_count,school_count,restaurant_count,bakery_count,movie_theater_count,park_count,convenience_store_count,department_store_count,supermarket_count,parking,subway_station,bus_station,school,restaurant,bakery,movie_theater,park,convenience_store,department_store,supermarket
續杯,屯門,46320,27000,240000,500,"22.3874897,113.9748216",8,0,4,8,20,7,0,0,6,2,5,284,,296,8,70,127,,,183,309,85
土耳其,天水圍,-38000,25000,312500,150,"22.448607,114.0031147",2,1,9,7,16,1,0,0,3,0,0,76,241,96,83,0,468,,,7,,
滋之屋,元朗,21050,30000,312500,200,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
炸將,大埔,48040,47000,350000,190,"22.453397,114.167647",7,0,15,4,20,9,0,1,2,0,3,115,,154,198,129,73,,391,72,,86
SS馬坤記,觀塘,20000,4000,258000,200,"22.3136289,114.216794",3,0,7,2,16,1,0,1,0,0,0,103,,5,139,0,185,,224,,,
串串大王,紅磡,-50000,47000,80000,100,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
順興小食店,粉嶺,-22000,9000,170000,250,"22.501118,114.141562",1,0,7,9,20,1,0,3,1,2,1,285,,98,3,0,98,,149,230,41,151
廟街一號,油麻地,43500,28000,160000,200,"22.311707,114.1700271",5,1,17,20,20,5,8,5,6,0,3,42,233,48,34,44,178,128,40,52,,146
飽餃店,紅磡,28000,68000,80000,400,"22.306199,114.185683",6,0,20,10,20,10,1,3,5,0,10,139,,55,162,0,76,88,323,163,,47
AB FK2205,土瓜灣,53500,20000,250000,950,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
TST229,尖沙咀,50000,133000,538000,850,"22.300427,114.175451",11,0,15,10,20,3,0,1,0,3,4,189,,56,100,97,205,,188,,86,203
CSW513,荔枝角,10000,25000,350000,300,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
HKS176,香港仔,35000,49500,268000,220,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
MK841,油麻地,20000,42000,338000,450,null,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
